Orders per eff online,priority_5
month,Old priority,New priority
1,0.4781527719,0.5594791593
2,0.4117517363,0.4321331726
3,0.4355780888,0.425295398
4,0.3386234259,0.3799824267
5,0.3435906154,0.3640374642
