B cancel rate,priority_5
month,Old priority,New priority
1,0.07748896518,0.07621402878
2,0.06729039223,0.07344282615
3,0.07850635474,0.08936579116
4,0.07833611659,0.08029334336
5,0.07667497434,0.07660377358
