B2c gmv,priority_5
month,Old priority,New priority
1,0.01084129,0.01087763
2,0.026973,0.02033842
3,0.02690625,0.01794375
4,0.00628281,0.00445456
5,0.00393188,0.0011348

B2c per order,priority_5
month,Old priority,New priority
1,95.91083084,91.75449026
2,246.7216867,174.1319505
3,250.5640182,156.1771157
4,57.44710477,37.92390162
5,35.60003299,9.605783542

B2c total burn,priority_5
month,Old priority,New priority
1,866938.0,725411.0
2,1843011.0,998995.0
3,1980458.0,854445.0
4,338306.0,180404.0
5,215843.0,45176.0

Bad rating rate,priority_5
month,Old priority,New priority
1,0.03518088284,0.03124209461
2,0.03480589023,0.03154959038
3,0.03125,0.03162127582
4,0.02818814739,0.02858944713
5,0.02441035791,0.02423984691

B cancel rate,priority_5
month,Old priority,New priority
1,0.07748896518,0.07621402878
2,0.06729039223,0.07344282615
3,0.07850635474,0.08936579116
4,0.07833611659,0.08029334336
5,0.07667497434,0.07660377358

B p1p2,priority_5
month,Old priority,New priority
1,0.002902584154,0.00307884907
2,0.002847087544,0.002822131304
3,0.002190866021,0.002015318195
4,0.002102639257,0.002154452535
5,0.002254093925,0.002165088059

Daily online hours,priority_5
month,Old priority,New priority
1,5221.022204,3842.535717
2,5377.313161,3867.331418
3,4998.759624,3481.874946
4,4950.556731,3522.353917
5,4939.784946,3581.739319

Daily orders,priority_5
month,Old priority,New priority
1,291.5806452,255.0322581
2,257.5862069,197.8275862
3,254.9677419,176.483871
4,196.3,158.5666667
5,195.5806452,151.7096774

Exposure uv,priority_5
month,Old priority,New priority
1,3865521,3144032
2,3227860,2512640
3,4419257,3376638
4,3440438,2694420
5,3326392,2656243

Healthy stores,priority_5
month,Old priority,New priority
1,476.1612903,351.8064516
2,497.8965517,360.3448276
3,460.3225806,322.483871
4,460.8333333,327.1
5,448.483871,322.483871

Imperfect orders,priority_5
month,Old priority,New priority
1,324.0,267.0
2,257.0,183.0
3,249.0,175.0
4,174.0,142.0
5,179.0,137.0

Orders per eff online,priority_5
month,Old priority,New priority
1,0.4781527719,0.5594791593
2,0.4117517363,0.4321331726
3,0.4355780888,0.425295398
4,0.3386234259,0.3799824267
5,0.3435906154,0.3640374642

R burn,priority_5
month,Old priority,New priority
1,6885421.0,6932287.0
2,5086168.0,3501686.0
3,5471740.0,3219750.0
4,3650290.0,2596285.0
5,4306740.0,2884612.0

R burn gmv,priority_5
month,Old priority,New priority
1,0.086104,0.10395048
2,0.074437539,0.071290404
3,0.074338362,0.06761629
4,0.067790878,0.064107846
5,0.078453248,0.072460378

R burn per order,priority_5
month,Old priority,New priority
1,761.745879,876.8387301
2,680.8792503,610.3688339
3,692.2747976,588.512155
4,619.8488708,545.7820055
5,710.331519,613.3557304

Ted,priority_5
month,Old priority,New priority
1,11898770.0,10954505.0
2,10490965.0,7012816.0
3,10979850.0,6264162.0
4,6792133.0,4923518.0
5,7550308.0,5126541.0

Ted gmv,priority_5
month,Old priority,New priority
1,0.148797248,0.164264123
2,0.153538305,0.142773078
3,0.149170841,0.131550398
4,0.1261392,0.121572221
5,0.137539342,0.128776799

Bad rating rate,priority_5
month,Old priority,New priority
1,0.03518088284,0.03124209461
2,0.03480589023,0.03154959038
3,0.03125,0.03162127582
4,0.02818814739,0.02858944713
5,0.02441035791,0.02423984691

B cancel rate,priority_5
month,Old priority,New priority
1,0.07748896518,0.07621402878
2,0.06729039223,0.07344282615
3,0.07850635474,0.08936579116
4,0.07833611659,0.08029334336
5,0.07667497434,0.07660377358

B p1p2,priority_5
month,Old priority,New priority
1,0.002902584154,0.00307884907
2,0.002847087544,0.002822131304
3,0.002190866021,0.002015318195
4,0.002102639257,0.002154452535
5,0.002254093925,0.002165088059

Daily online hours,priority_5
month,Old priority,New priority
1,5221.022204,3842.535717
2,5377.313161,3867.331418
3,4998.759624,3481.874946
4,4950.556731,3522.353917
5,4939.784946,3581.739319

Daily orders,priority_5
month,Old priority,New priority
1,291.5806452,255.0322581
2,257.5862069,197.8275862
3,254.9677419,176.483871
4,196.3,158.5666667
5,195.5806452,151.7096774

Exposure uv,priority_5
month,Old priority,New priority
1,3865521,3144032
2,3227860,2512640
3,4419257,3376638
4,3440438,2694420
5,3326392,2656243

Healthy stores,priority_5
month,Old priority,New priority
1,476.1612903,351.8064516
2,497.8965517,360.3448276
3,460.3225806,322.483871
4,460.8333333,327.1
5,448.483871,322.483871

Imperfect orders,priority_5
month,Old priority,New priority
1,324.0,267.0
2,257.0,183.0
3,249.0,175.0
4,174.0,142.0
5,179.0,137.0

Orders per eff online,priority_5
month,Old priority,New priority
1,0.4781527719,0.5594791593
2,0.4117517363,0.4321331726
3,0.4355780888,0.425295398
4,0.3386234259,0.3799824267
5,0.3435906154,0.3640374642

Ted gmv,priority_5
month,Old priority,New priority
1,0.148797248,0.164264123
2,0.153538305,0.142773078
3,0.149170841,0.131550398
4,0.1261392,0.121572221
5,0.137539342,0.128776799

Bad rating rate,priority_5
month,Old priority,New priority
1,0.03518088284,0.03124209461
2,0.03480589023,0.03154959038
3,0.03125,0.03162127582
4,0.02818814739,0.02858944713
5,0.02441035791,0.02423984691

B cancel rate,priority_5
month,Old priority,New priority
1,0.07748896518,0.07621402878
2,0.06729039223,0.07344282615
3,0.07850635474,0.08936579116
4,0.07833611659,0.08029334336
5,0.07667497434,0.07660377358

B p1p2,priority_5
month,Old priority,New priority
1,0.002902584154,0.00307884907
2,0.002847087544,0.002822131304
3,0.002190866021,0.002015318195
4,0.002102639257,0.002154452535
5,0.002254093925,0.002165088059

Daily orders,priority_5
month,Old priority,New priority
1,291.5806452,255.0322581
2,257.5862069,197.8275862
3,254.9677419,176.483871
4,196.3,158.5666667
5,195.5806452,151.7096774

Exposure uv,priority_5
month,Old priority,New priority
1,3865521,3144032
2,3227860,2512640
3,4419257,3376638
4,3440438,2694420
5,3326392,2656243

Healthy stores,priority_5
month,Old priority,New priority
1,476.1612903,351.8064516
2,497.8965517,360.3448276
3,460.3225806,322.483871
4,460.8333333,327.1
5,448.483871,322.483871

Imperfect orders,priority_5
month,Old priority,New priority
1,324.0,267.0
2,257.0,183.0
3,249.0,175.0
4,174.0,142.0
5,179.0,137.0

Orders per eff online,priority_5
month,Old priority,New priority
1,0.4781527719,0.5594791593
2,0.4117517363,0.4321331726
3,0.4355780888,0.425295398
4,0.3386234259,0.3799824267
5,0.3435906154,0.3640374642

Ted gmv,priority_5
month,Old priority,New priority
1,0.148797248,0.164264123
2,0.153538305,0.142773078
3,0.149170841,0.131550398
4,0.1261392,0.121572221
5,0.137539342,0.128776799

Bad rating rate,priority_5
month,Old priority,New priority
1,0.03518088284,0.03124209461
2,0.03480589023,0.03154959038
3,0.03125,0.03162127582
4,0.02818814739,0.02858944713
5,0.02441035791,0.02423984691

B cancel rate,priority_5
month,Old priority,New priority
1,0.07748896518,0.07621402878
2,0.06729039223,0.07344282615
3,0.07850635474,0.08936579116
4,0.07833611659,0.08029334336
5,0.07667497434,0.07660377358

B p1p2,priority_5
month,Old priority,New priority
1,0.002902584154,0.00307884907
2,0.002847087544,0.002822131304
3,0.002190866021,0.002015318195
4,0.002102639257,0.002154452535
5,0.002254093925,0.002165088059

Daily orders,priority_5
month,Old priority,New priority
1,291.5806452,255.0322581
2,257.5862069,197.8275862
3,254.9677419,176.483871
4,196.3,158.5666667
5,195.5806452,151.7096774

Exposure uv,priority_5
month,Old priority,New priority
1,3865521,3144032
2,3227860,2512640
3,4419257,3376638
4,3440438,2694420
5,3326392,2656243

Healthy stores,priority_5
month,Old priority,New priority
1,476.1612903,351.8064516
2,497.8965517,360.3448276
3,460.3225806,322.483871
4,460.8333333,327.1
5,448.483871,322.483871

Imperfect orders,priority_5
month,Old priority,New priority
1,324.0,267.0
2,257.0,183.0
3,249.0,175.0
4,174.0,142.0
5,179.0,137.0

Orders per eff online,priority_5
month,Old priority,New priority
1,0.4781527719,0.5594791593
2,0.4117517363,0.4321331726
3,0.4355780888,0.425295398
4,0.3386234259,0.3799824267
5,0.3435906154,0.3640374642

Ted gmv,priority_5
month,Old priority,New priority
1,0.148797248,0.164264123
2,0.153538305,0.142773078
3,0.149170841,0.131550398
4,0.1261392,0.121572221
5,0.137539342,0.128776799




