Ted per order,Priority 4
month,Priority
1,1660.7338019559902
2,1659.1506547688027
3,1733.6939896482518
4,1452.2650909897911
5,1590.9788591443582
6,1593.7029758562603
7,1781.7360303978542
8,2104.533059266872
9,2202.4637875023886
