P2c burn per order,Priority 4
month,Priority
1,408.0473716381418
2,438.76775987947616
3,404.47332840392943
4,392.1621171770972
5,449.3652739554665
6,494.0878719820325
7,426.181940098346
8,413.0931825967797
9,437.7905599082744
