R burn per order,Priority 4
month,Priority
1,1151.262836185819
2,1075.28450573647
3,1156.6324073096016
4,949.190301819796
5,1032.2867150362772
6,1080.763335204941
7,1355.4646848457755
8,1673.7540253511477
9,1752.7049493598315
