R burn gmv,Priority 4
month,Priority
1,0.1474708815765129
2,0.1217575047027906
3,0.1300448370312334
4,0.1127641108928476
5,0.1228243464494065
6,0.1268959694430122
7,0.15543099066381
8,0.1803856811660393
9,0.1895270977170261
