Orders per eff online,Priority 4
month,Priority
1,2.696703296703297
2,1.941719171917192
3,2.0765518754112744
4,1.8700975306080097
5,1.6762423988257495
6,1.696594427244582
7,1.5306192268217584
8,1.2187891440501044
9,1.498997421942137
