Exposure per eff online,Priority 4
month,Priority
1,415.44835164835166
2,376.5409540954095
3,399.8315420048256
4,328.4150238638722
5,321.4359404487314
6,334.3729459395094
7,297.15942524803285
8,258.7465553235908
9,306.2744199369808
