Ted gmv,Priority 3
month,Priority
1,0.2925674725950872
2,0.3112271481188489
3,0.3278302778311978
4,0.3324944590572109
5,0.3543591061380565
6,0.4073613440570357
7,0.5515460325643684
8,0.4959692263593973
9,0.4890370830297042
