Healthy stores,Priority 3
month,Priority
1,674.3225806451613
2,508.13793103448273
3,195.29032258064515
4,169.83333333333334
5,159.7741935483871
6,215.13333333333333
7,154.5483870967742
8,150.96774193548387
9,155.2
