Ted per order,Priority 3
month,Priority
1,12934.219710451636
2,13310.076012191605
3,16451.923961726385
4,17142.19673111421
5,18483.22629870129
6,21333.51681373718
7,30042.506101312552
8,24851.166016991505
9,24208.85793115925
