P2c burn per order,Priority 3
month,Priority
1,4767.664566398922
2,4857.444746488735
3,4590.434751628664
4,4395.0047837353
5,4111.628733766233
6,4136.735368471262
7,3551.3190627563577
8,4110.084057971015
9,4127.94436654756
