Daily online hours,Priority 3
month,Priority
1,5923.435528673848
2,4266.278342911884
3,1768.644999999999
4,1497.380833333336
5,1409.7954480286794
6,1927.347370370368
7,1368.0249014336932
8,1334.725976702512
9,1383.8402870370371
