Daily orders,Priority 3
month,Priority
1,1341.354838709677
2,1674.4137931034484
3,316.9032258064516
4,167.23333333333332
5,198.70967741935485
6,698.8333333333334
7,629.1612903225806
8,645.483870967742
9,736.9666666666667
