B p2,Priority 3
month,Priority
1,0.0710485887099772
2,0.1258297909177476
3,0.0936920983160345
4,0.0693160481720224
5,0.0747654645179051
6,0.1029353244953164
7,0.1371320673693251
8,0.1232250125028798
9,0.126811823533135
