B2c per order,Priority 3
month,Priority
1,1263.7750709441584
2,1370.9345936817826
3,2795.417854234528
4,3795.802272274267
5,4723.674350649351
6,6091.7250655855
7,12647.647251845776
8,8759.07756121939
9,7861.195938305667
