B2c gmv,Priority 5
month,Priority
1,0.0316573186715126
2,0.0341473191050653
3,0.02162799468301
4,0.0025027903241285
5,0.0038270498433018
6,0.0020777828326051
7,0.0005714659004952
8,0.0038359565653521
9,0.004193902192771
