B p1p2,Priority 5
month,Priority
1,0.002153643061296
2,0.0023391858077631
3,0.0018696997082989
4,0.0019278789972296
5,0.0022104696946617
6,0.0019302064441834
7,0.001658910727953
8,0.0018789429033656
9,0.0019212679515185
