Active rs,Priority 5
month,Priority
1,2896.32
2,3479.862068965517
3,3104.774193548388
4,2738.0666666666666
5,2998.548387096774
6,2809.7
7,2188.4193548387098
8,1913.8064516129032
9,1694.3
