R burn gmv,Priority 5
month,Priority
1,0.0718083714153103
2,0.0715725559596264
3,0.0719956744422454
4,0.0816013017745978
5,0.0744700830216693
6,0.0676578926131178
7,0.0794335192208683
8,0.0822838474354268
9,0.0878372520164887
