R burn per order,Priority 5
month,Priority
1,17.022964837950386
2,18.06925141557321
3,18.642064119429968
4,20.339670642865087
5,18.208088838381343
6,16.45252596418346
7,20.082629821271937
8,20.775288086938687
9,22.57345546603892
