Exposure per eff online,Priority 5
month,Priority
1,394.2765619961932
2,332.246981965337
3,409.3519333832984
4,358.9731460637232
5,437.5865868667701
6,482.9102740740408
7,439.8378820933696
8,385.3452320598548
9,360.6368309901648
