Total p2c burn,priority_5
month,Old priority,New priority
1,136858969.0,120343630.0
2,132877451.0,150444988.0
3,158090369.0,148104159.0
4,116333602.0,107958358.0
5,116644591.0,121283076.0
6,121138438.0,109472822.0
