P2c gmv,priority_5
month,Old priority,New priority
1,0.11807435,0.10527156
2,0.114351,0.11192848
3,0.10629689,0.1088561
4,0.1033776,0.10675965
5,0.0944428,0.0994867
6,0.09545641,0.09765554
