P2c burn per order,priority_5
month,Old priority,New priority
1,5044.562071507556,5212.162934730824
2,4971.470031427716,4925.839434221727
3,4737.499820197782,4948.516789735708
4,4672.032208835341,4741.254194115064
5,4207.957828282828,4403.408343317721
6,4297.670486394437,4475.036667620488
