P2c gmv,Priority 0
month,Priority
1,0.0523539128552263
2,0.0418323439557055
3,0.039796513511411
4,0.0466893753509995
5,0.0481802996650366
6,0.0470970277439996
7,0.0407822732008032
8,0.0456821186249837
9,0.0477936536710293
