Asp,Priority 0
month,Priority
1,187.93329191179703
2,181.87507661827075
3,184.2639524119801
4,178.80336721715355
5,177.68142731869173
6,173.5315943734628
7,176.85315456627524
8,179.77710185412073
9,179.525982567997
