Ted gmv,Old_3_vs_New_2
month,Old priority,New priority
1,0.420323395,0.420214059
2,0.360616801,0.373999727
3,0.339967343,0.356887663
4,0.286440801,0.349977273
5,0.332651114,0.36768803
