B2c gmv,Old_3_vs_New_2
month,Old priority,New priority
1,0.08491317,0.07382013
2,0.06543063,0.05620818
3,0.06987155,0.05770032
4,0.03352356,0.0477778
5,0.03720778,0.03952386

B2c per order,Old_3_vs_New_2
month,Old priority,New priority
1,3.598132397,3.333421915
2,2.67866284,2.405942274
3,3.021892925,2.552754179
4,1.350403679,2.011856883
5,1.488951965,1.642496794

B2c total burn,Old_3_vs_New_2
month,Old priority,New priority
1,27666.04,66105.09
2,12600.43,35593.51
3,12643.6,37260.0
4,2642.74,25472.12
5,3750.67,25616.38

Bad rating rate,Old_3_vs_New_2
month,Old priority,New priority
1,0.03797632982,0.03101205184
2,0.03210034014,0.02980938218
3,0.03298279159,0.03110441217
4,0.02606029637,0.02661717084
5,0.02778880508,0.02692998205

B cancel rate,Old_3_vs_New_2
month,Old priority,New priority
1,0.0426300578,0.02199961656
2,0.05866615708,0.02768957195
3,0.05409482759,0.03103448276
4,0.06205035971,0.0298474626
5,0.06689655172,0.03256197374

B p1p2,Old_3_vs_New_2
month,Old priority,New priority
1,0.008218747039,0.008122373166
2,0.007569324509,0.007943015722
3,0.007419319207,0.007745499945
4,0.005154967605,0.007645301839
5,0.006635568629,0.008609541082

Daily online hours,Old_3_vs_New_2
month,Old priority,New priority
1,749.2794624,1612.047885
2,691.2983142,1658.838132
3,638.1753674,1743.960529
4,611.250037,2041.864713
5,579.4567563,2203.942724

Daily orders,Old_3_vs_New_2
month,Old priority,New priority
1,248.0322581,639.7096774
2,162.2068966,510.137931
3,134.9677419,470.8387097
4,65.23333333,422.0333333
5,81.25806452,503.0967742

Exposure uv,Old_3_vs_New_2
month,Old priority,New priority
1,1118662,2786624
2,765458,2157367
3,697099,2203473
4,502234,1934129
5,504855,2134957

Healthy stores,Old_3_vs_New_2
month,Old priority,New priority
1,87.93548387,175.516129
2,82.51724138,181.8965517
3,75.87096774,190.9032258
4,74.0,221.0333333
5,70.16129032,234.4193548

Imperfect orders,Old_3_vs_New_2
month,Old priority,New priority
1,271.0,548.0
2,143.0,396.0
3,135.0,432.0
4,58.0,313.0
5,67.0,378.0

Orders per eff online,Old_3_vs_New_2
month,Old priority,New priority
1,2.093384155,2.964275037
2,1.467706708,2.276350208
3,1.309956168,1.975368791
4,0.6683743169,1.51956313
5,0.8897915931,1.703177897

R burn,Old_3_vs_New_2
month,Old priority,New priority
1,71837.18,217129.08
2,37056.71,142147.97
3,33753.09,143738.45
4,13007.45,122286.09
5,19238.62,155980.18

R burn gmv,Old_3_vs_New_2
month,Old priority,New priority
1,0.22048413,0.242469941
2,0.192425479,0.224475706
3,0.186527627,0.222591366
4,0.165001508,0.229370774
5,0.190852907,0.240663956

R burn per order,Old_3_vs_New_2
month,Old priority,New priority
1,9.342850826,10.94897282
2,7.877701956,9.608487901
3,8.067182122,9.847797342
4,6.646627491,9.658485902
5,7.637403732,10.00129392

Ted,Old_3_vs_New_2
month,Old priority,New priority
1,136947.94,376296.92
2,69446.48,236833.21
3,61518.76,230460.33
4,22580.79,186585.9
5,33532.36,238307.58

Ted gmv,Old_3_vs_New_2
month,Old priority,New priority
1,0.420323395,0.420214059
2,0.360616801,0.373999727
3,0.339967343,0.356887663
4,0.286440801,0.349977273
5,0.332651114,0.36768803

Bad rating rate,Old_3_vs_New_2
month,Old priority,New priority
1,0.03797632982,0.03101205184
2,0.03210034014,0.02980938218
3,0.03298279159,0.03110441217
4,0.02606029637,0.02661717084
5,0.02778880508,0.02692998205

B cancel rate,Old_3_vs_New_2
month,Old priority,New priority
1,0.0426300578,0.02199961656
2,0.05866615708,0.02768957195
3,0.05409482759,0.03103448276
4,0.06205035971,0.0298474626
5,0.06689655172,0.03256197374

B p1p2,Old_3_vs_New_2
month,Old priority,New priority
1,0.008218747039,0.008122373166
2,0.007569324509,0.007943015722
3,0.007419319207,0.007745499945
4,0.005154967605,0.007645301839
5,0.006635568629,0.008609541082

Daily online hours,Old_3_vs_New_2
month,Old priority,New priority
1,749.2794624,1612.047885
2,691.2983142,1658.838132
3,638.1753674,1743.960529
4,611.250037,2041.864713
5,579.4567563,2203.942724

Daily orders,Old_3_vs_New_2
month,Old priority,New priority
1,248.0322581,639.7096774
2,162.2068966,510.137931
3,134.9677419,470.8387097
4,65.23333333,422.0333333
5,81.25806452,503.0967742

Exposure uv,Old_3_vs_New_2
month,Old priority,New priority
1,1118662,2786624
2,765458,2157367
3,697099,2203473
4,502234,1934129
5,504855,2134957

Healthy stores,Old_3_vs_New_2
month,Old priority,New priority
1,87.93548387,175.516129
2,82.51724138,181.8965517
3,75.87096774,190.9032258
4,74.0,221.0333333
5,70.16129032,234.4193548

Imperfect orders,Old_3_vs_New_2
month,Old priority,New priority
1,271.0,548.0
2,143.0,396.0
3,135.0,432.0
4,58.0,313.0
5,67.0,378.0

Orders per eff online,Old_3_vs_New_2
month,Old priority,New priority
1,2.093384155,2.964275037
2,1.467706708,2.276350208
3,1.309956168,1.975368791
4,0.6683743169,1.51956313
5,0.8897915931,1.703177897

Ted gmv,Old_3_vs_New_2
month,Old priority,New priority
1,0.420323395,0.420214059
2,0.360616801,0.373999727
3,0.339967343,0.356887663
4,0.286440801,0.349977273
5,0.332651114,0.36768803

Bad rating rate,Old_3_vs_New_2
