B p1p2,Old_3_vs_New_2
month,Old priority,New priority
1,0.008218747039,0.008122373166
2,0.007569324509,0.007943015722
3,0.007419319207,0.007745499945
4,0.005154967605,0.007645301839
5,0.006635568629,0.008609541082
