R burn gmv,Old_3_vs_New_2
month,Old priority,New priority
1,0.22048413,0.242469941
2,0.192425479,0.224475706
3,0.186527627,0.222591366
4,0.165001508,0.229370774
5,0.190852907,0.240663956
