Bad rating rate,Old_3_vs_New_2
month,Old priority,New priority
1,0.03797632982,0.03101205184
2,0.03210034014,0.02980938218
3,0.03298279159,0.03110441217
4,0.02606029637,0.02661717084
5,0.02778880508,0.02692998205
