country_code,month_,priority,eff_online_rs,complete_orders,daily_orders,orders_per_eff_online,active_rs,b_cancel_rate,bad_rating_rate,daily_online_hours,healthy_stores,exposure_uv,shop_enter_uv,click_pay_user_cnt_app,pay_success_user_cnt_app,b_p1,b_p2,b_p1p2,gmv,realpay_price,r_burn,r_burn_gmv,r_burn_per_order,b2c_total_burn,b2c_gmv,b2c_per_order,tri_per_order,tri_gmv,aop,asp,total_p2c_burn,p2c_gmv,p2c_burn_per_order,ted,ted_gmv,ted_per_order,imperfect_orders,imperfect_order_rate,pay_order_cnt,b_cancel_order_cnt,exposure_per_eff_online
MX,1,Priority 5,7691.44,138075,5523.0,0.7180709984086205,2896.32,0.0791284182667291,0.0225602027883396,53131.80093333331,5439.36,75813863,2613067,163276,152613,0.0344668758008017,0.062484429216702,0.002153643061296,32732198.54,27508148.26,2350445.87,0.0718083714153103,17.022964837950386,1036213.64,0.0316573186715126,7.504715842839037,57.14793901864928,0.2410684901094333,237.06100698895528,199.2261326090893,1837390.77,0.0561340469615763,13.307193699076588,5224050.28,0.1595997370483993,37.834874379866015,3529.0,0.0255585732391816,155671,12318,394.2765619961932
MX,2,Priority 5,9611.758620689656,184201,6351.758620689655,0.6608320986148432,3479.862068965517,0.0717151405645897,0.0223505844159369,67793.64823754758,7021.344827586207,92610856,3104933,216634,202236,0.0335266634399751,0.069770909710451,0.0023391858077631,46503497.54,39752123.5,3328374.18,0.0715725559596264,18.069251415573206,1587969.77,0.0341473191050653,8.620853144119737,60.13306198120531,0.2381878941572617,252.46061389460425,215.80840223451557,1835048.09,0.0394604317325074,9.962204819734962,6751374.04,0.1451799197295386,36.65221166008871,4667.0,0.0253364531137181,205884,14765,332.246981965337
MX,3,Priority 5,8565.129032258064,172553,5566.225806451613,0.6498706307269912,3104.7741935483878,0.0784460120488131,0.0231291255440357,60341.95568996399,6265.419354838709,108690716,3218437,203219,190491,0.0296109651168366,0.0631421401133531,0.0018696997082989,44679685.48,38710579.27,3216744.09,0.0719956744422454,18.642064119429968,966332.0,0.02162799468301,5.6002039952942,61.755149200535485,0.238498461784606,258.93311318841165,224.3402274663437,1786030.12,0.0399740978660085,10.35061760734383,5969106.21,0.1335977669912639,34.592885722068,4602.0,0.0266700665882366,194210,15235,409.3519333832984
MX,4,Priority 5,8114.266666666666,143856,4795.2,0.5909591337068867,2738.0666666666666,0.075718631650835,0.0225503281058836,56963.18483333344,5930.933333333333,87384115,2539514,168466,158147,0.0290615062016706,0.066337889848215,0.0019278789972296,35857070.86,31250362.38,2925983.66,0.0816013017745978,20.339670642865087,89742.73,0.0025027903241285,0.6238372400177955,58.90769658547436,0.2363334593917803,249.2566932209988,217.2336390557224,1590982.09,0.0443701075364414,11.059546282393503,4606708.48,0.1284741996351678,32.023054165276385,3572.0,0.024830385941497,161070,12196,358.9731460637232
MX,5,Priority 5,7836.806451612903,202390,6528.709677419355,0.833082929600191,2998.548387096774,0.068638816709974,0.0210978803300558,55286.17531361996,5736.709677419355,106307723,3216225,234990,221158,0.0302539167356636,0.0730639181027446,0.0022104696946617,49484772.28,43457286.91,3685135.1,0.0744700830216693,18.208088838381343,189380.69,0.0038270498433018,0.9357215771530212,57.92014373239785,0.2368902058126233,244.5020617619448,214.72052428479668,2152969.58,0.0435077192599339,10.637727061613717,6027485.37,0.121804852124905,29.78153747714808,4607.0,0.0227629823607885,225135,15453,437.5865868667701
MX,6,Priority 5,7427.433333333333,178130,5937.666666666667,0.7994237578705968,2809.7,0.0700696334842309,0.0210857239095042,52039.81936111102,5410.566666666667,107603516,3106199,207697,195644,0.0288670771687423,0.0668653231811612,0.0019302064441834,43316283.39,38291356.54,2930688.45,0.0676578926131178,16.45252596418346,90001.83,0.0020777828326051,0.5052592488631898,57.83641593218436,0.2378412911662317,243.1723089316791,214.9629851232246,2004236.57,0.0462698184873058,11.251538595407848,5024926.85,0.1160054939330287,28.209323808454496,4018.0,0.0225565598158648,199473,13977,482.9102740740408
MX,7,Priority 5,6520.741935483871,124267,4008.6129032258063,0.6147479754431269,2188.4193548387098,0.0766938475041762,0.0223872790040799,45388.89974910403,4705.709677419355,88910149,2447847,147494,138379,0.0275316938227153,0.0602545829048956,0.001658910727953,31417570.12,27606331.26,2495608.16,0.0794335192208683,20.082629821271937,17954.07,0.0005714659004952,0.1444797894855432,59.70343985128795,0.2361470773093638,252.82311571052648,222.1533573676036,1297676.63,0.0413041691334975,10.442648732165418,3811238.86,0.1213091542548612,30.669758342922897,2814.0,0.0226447890429478,141276,10835,439.8378820933696
MX,8,Priority 5,6044.741935483871,117048,3775.741935483871,0.6246324451536126,1913.8064516129032,0.0686783722498008,0.0203164513703779,41733.87338709692,4379.741935483871,72208687,2047364,135676,128037,0.0283534306613274,0.0662686263898359,0.0018789429033656,29552652.14,25724445.92,2431705.92,0.0822838474354268,20.775288086938687,113362.69,0.0038359565653521,0.9685145410429908,59.1016130988996,0.2340813804875652,252.4831875811633,219.77689426560045,1283137.61,0.043418695686647,10.962490687581164,3828206.22,0.129538499687426,32.706293315562846,2391.0,0.0204275169161369,130536,8965,385.3452320598548
MX,9,Priority 5,5524.333333333333,98554,3285.133333333333,0.5946660230495384,1694.3,0.0669875542744223,0.0207601923818414,38499.54816666662,4015.9,59768342,1739816,114831,108325,0.0291093234609051,0.066001807087646,0.0019212679515185,25327572.06,21844316.47,2224704.33,0.0878372520164887,22.57345546603892,106221.36,0.004193902192771,1.077798567282911,59.54265478823792,0.231690853987052,256.9918223511983,221.6481976378432,1152329.9,0.0454970534589804,11.69237068003328,3483255.59,0.1375282076682402,35.34362471335512,2128.0,0.0215922235525701,110319,7390,360.6368309901648
MX,1,Priority 4,6796.08,534369,21374.76,3.1451601511459546,5785.04,0.0326217495965928,0.0187192745088131,47223.70366666687,5487.68,72073142,5176408,588099,557467,0.0718215947904699,0.1136114077561119,0.0081597524914343,126612801.82,102979629.07,13511955.42,0.1067187142672142,25.285814521426204,3073837.45,0.0242774617243676,5.752275019696128,54.70612726411898,0.2308870674985904,236.9388976905472,192.7125807634799,7047379.88,0.0556608793004909,13.188227385944918,23633172.75,0.1866570552920728,44.226316927067245,11449.0,0.0214252698041989,567045,18498,424.2042000682746
