Pay success user cnt app,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,6624,2120,43775,14017,7157,5860
2,6456,1027,32633,12031,7081,8726
3,5332,32525,13646,2322,8125,9560
4,3938,32091,15897,1420,4277,6975
5,3058,38499,16590,1641,5750,7371
6,3354,40324,18461,2288,5828,7835
7,3376,47068,24608,3052,3091,7656
8,2168,46663,21319,2361,2893,5160
9,1782,43677,19319,2706,3735,4430
