Orders per eff online,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,0.8260345520289273,1.047418335089568,12.255331248222918,1.146819338422392,1.8278447121820616,0.3682546229463119
2,0.851792943898207,0.7552504038772213,9.255988455988456,1.7478287368581442,1.5392312940641346,0.3548286465528767
3,0.8014511873350924,10.554566435872074,1.894461404273877,0.6247872943845717,2.21249640080622,0.3719025797691785
4,0.9404761904761904,10.084163186636683,1.9427987742594484,0.4793066855323664,1.0634299138606107,0.2868105082603593
5,1.0605022831050228,11.203415218693827,1.7398652380426378,0.595793499043977,1.8212737579193063,0.2992427698202718
6,1.8147932440302847,10.95110366024029,2.3980865224625623,0.847682119205298,1.9070827489481064,0.333160694947973
7,2.1124661246612466,11.138712823013163,2.8961524094135225,1.1355599214145382,1.3053539019963702,0.3524917783961548
8,1.9791271347248576,10.2831541218638,2.494134897360704,0.9267413931144916,1.0507052992756385,0.2670133393624237
9,1.6960882647943831,9.992565055762082,2.418255419169496,1.1121971950701233,1.2168428230480737,0.25694135586759
