Complete orders,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,6168,1988,43102,13521,6827,5357
2,5891,935,32072,11471,6768,7962
3,4860,32012,13032,2203,7684,8765
4,3634,31392,15216,1355,4074,6354
5,2787,37397,15751,1558,5462,6560
6,3116,39194,17295,2176,5439,7076
7,3118,45691,23259,2890,2877,6967
8,2086,45904,20412,2315,2756,4724
9,1691,43008,18519,2617,3569,4044
