Click pay user cnt app,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,7171,2312,46163,15422,7929,6628
2,6892,1123,34270,13405,7789,9754
3,5710,33922,15119,2562,8790,10664
4,4138,33403,17567,1543,4677,7780
5,3243,40302,18532,1759,6165,8292
6,3521,42495,20255,2487,6360,8901
7,3597,50094,26964,3358,3371,8804
8,2285,49102,23300,2634,3220,5891
9,1869,45193,20309,2847,3960,4835
