Imperfect orders,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,215.0,71.0,1011.0,341.0,212.0,160.0
2,200.0,33.0,691.0,337.0,195.0,247.0
3,195.0,721.0,437.0,68.0,237.0,253.0
4,102.0,671.0,410.0,34.0,119.0,201.0
5,86.0,859.0,389.0,33.0,153.0,185.0
6,114.0,867.0,467.0,56.0,166.0,203.0
7,86.0,1015.0,643.0,63.0,69.0,196.0
8,54.0,931.0,508.0,54.0,67.0,112.0
9,53.0,853.0,422.0,66.0,77.0,104.0
