B cancel order cnt,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,496,146,357,311,229,406
2,481,86,337,378,224,565
3,422,276,400,75,285,581
4,247,311,488,41,113,393
5,197,459,559,54,148,497
6,137,435,572,70,182,442
7,113,507,589,83,98,422
8,44,346,524,31,86,302
9,47,375,386,49,80,256
