Realpay price,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,148546.96,49649.38,1045050.41,387983.02,174659.02,155320.99
2,141050.92,23514.3,779911.01,312187.9,178049.34,237639.41
3,122739.53,793739.17,371498.58,67610.54,202030.46,266117.88
4,88760.01,748921.04,405587.81,43230.87,115292.71,186291.65
5,67414.67,887143.84,413517.98,48004.74,148197.53,192681.52
6,72004.2,937566.37,452640.07,63574.53,144741.25,205482.92
7,78917.56,1081628.77,603520.05,79622.74,80374.47,205383.16
