P2c gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.08984092,0.11733546
2,0.07715067,0.11250108
3,0.06256311,0.05942789
4,0.0545896,0.0557762
5,0.0653832,0.06822585
6,0.06545314,0.06767311
