Total p2c burn,Old_2_vs_New_1
month,Old priority,New priority
1,188453.02,9206.01
2,104406.2,4022.52
3,89168.57,82631.2
4,66850.54,73874.71
5,90418.6,105322.37
6,98702.84,109741.72
