P2c burn per order,Old_2_vs_New_1
month,Old priority,New priority
1,4.025483712485,4.630789738431
2,3.246461442786,4.302160427807
3,2.678136957501,2.581257028614
4,2.271896006797,2.353297336901
5,2.680181408584,2.816332058721
6,2.673714378589,2.799962239118
