B2c per order,Priority 4
month,Priority
1,2.626124212684928
2,1.991532210401891
3,2.863465642894325
4,1.108213058419244
5,2.3966514097400218
6,0.3007648464791321
7,0.2781543274244004
8,0.0561030478955007
9,0.0723620061641916
