Exposure per eff online,Priority 4
month,Priority
1,337.23560910307896
2,355.4814646349784
3,374.0881082637489
4,252.525711302532
5,302.19173057685896
6,315.41760168302943
7,291.87658802177856
8,233.10827296988185
9,231.18036140470508
