P2c burn per order,Priority 4
month,Priority
1,4.39237879009814
2,3.771465721040189
3,3.001431546069756
4,3.0293348060873835
5,3.5404247528377883
6,3.551209781209781
7,3.8603684393465416
8,3.484996371552976
9,3.5433370692070607
