B p2,Priority 4
month,Priority
1,0.0699650571791613
2,0.0862091864969562
3,0.1033278867742655
4,0.0813009543344864
5,0.0972919231133415
6,0.1079503021250594
7,0.0855779238912441
8,0.0817424857839155
9,0.0920651895938437
