Tri per order,Priority 4
month,Priority
1,8.576222352424198
2,8.24063977541371
3,8.218818323789693
4,8.177712322042218
5,8.329126693518857
6,7.664241588527302
7,8.089899200556134
8,8.084695210449926
9,7.938792378817597
