Ted per order,Priority 4
month,Priority
1,17.16918851618573
2,13.161889775413712
3,14.922100468505986
4,12.246438389788905
5,15.440644452581472
6,13.54979407979408
7,13.746753562738965
8,11.070540638606676
9,12.59769403194172
