P2c gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.10665079,0.10665079
2,0.10830623,0.10830623
3,0.08919865,0.08919865
4,0.08032279,0.08032279
5,0.09493824,0.09493824
6,0.09563204,0.09563204
