Total p2c burn,Old_1_vs_New_Rs
month,Old priority,New priority
1,23902.67,23902.67
2,23577.92,23577.92
3,16225.06,16225.06
4,10963.69,10963.69
5,9804.87,9804.87
6,10892.7,10892.7
