B cancel rate,Old_3_vs_New_2
month,Old priority,New priority
1,0.048048048048048,0.0289532293986636
2,0.0764381402679275,0.0315092237216788
3,0.0730387736699729,0.030740762848445
4,0.1231884057971014,0.0314519319530528
5,0.0948991696322657,0.0251782945736434
6,0.0649087221095334,0.0258555574923014
