R burn per order,Old_3_vs_New_2
month,Old priority,New priority
1,1292.7099195710457,1249.8050462878923
2,790.0332749562172,1248.8988727225062
3,693.7440239043825,1258.1341478855406
4,527.5797598627787,1300.2482517482515
5,678.2901484480432,1323.5271821103024
6,786.9076396807297,1296.5737976782752
