Ted,Old_3_vs_New_2
month,Old priority,New priority
1,3461374.0,29215197.0
2,1827963.0,27409189.0
3,1218822.0,28667763.0
4,587844.0,26273343.0
5,896536.0,29887336.0
6,1231794.0,31647854.0
