P2c gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.05023063,0.04664103
2,0.03999571,0.03685293
3,0.04244027,0.04367588
4,0.04690134,0.04752697
5,0.04389295,0.0441466
6,0.04380304,0.04388237
