Total p2c burn,Old_2_vs_New_1
month,Old priority,New priority
1,23356412.45,123879.46
2,16850682.5,78006.55
3,20378790.74,17405560.61
4,24309396.01,19176191.43
5,24605995.8,18573860.48
6,24092140.93,17824662.46
