B2c gmv,Old_1_vs_New_Rs,,,B2c gmv,Old_2_vs_New_1,,,B2c gmv,Old_3_vs_New_2,,,B2c gmv,priority_4,,,B2c gmv,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
2,4.214963119072699%,4.214963119072699%,,2,1.00810736950778%,1.33333333333333%,,2,7.58150113722517%,1.0420388233892999%,,2,2.95938191840238%,2.8104072894939%,,2,7.157345696899441%,7.1641791044776095%
3,5.0437121721587%,5.0437121721587%,,3,1.0574726111664399%,0.9711900038492199%,,3,6.261180679785331%,3.47265115640656%,,3,2.95429932856833%,2.69161496898138%,,3,4.81593145033322%,8.28986324545326%
4,5.2466718872357%,5.2466718872357%,,4,0.8664615384615301%,0.67617307849606%,,4,7.7445652173913%,3.10828666708613%,,4,2.7167379910564002%,2.35368956743002%,,4,7.621767889356581%,7.8778386844166%
5,4.96529631607047%,4.96529631607047%,,5,0.70844554431423%,0.71337903021071%,,5,9.48991696322657%,2.47049669303592%,,5,2.44625986947195%,2.5960296017855%,,5,7.586309082827079%,7.7946411841858705%
6,5.39916935856022%,5.39916935856022%,,6,0.7763482336857%,0.72691765216447%,,6,6.18181818181818%,2.5984666705682598%,,6,2.67489711934156%,2.50461376219351%,,6,7.62281197063805%,8.50894632206759%
,,,
B p1p2,Old_1_vs_New_Rs,,,B p1p2,Old_2_vs_New_1,,,B p1p2,Old_3_vs_New_2,,,B p1p2,priority_4,,,B p1p2,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,0.52006330300064%,0.52006330300064%,,1,1.36260913338088%,1.10260929372823%,,1,0.88878760255241%,1.36958941848695%,,1,0.77609988856693%,0.7439995979452799%,,1,0.25096402240114%,0.27441704180565%
2,0.53748539441862%,0.53748539441862%,,2,1.30817483647814%,0.5657508574661401%,,2,0.8427562373056%,1.3057293033129%,,2,0.7535048921823699%,0.58117020488266%,,2,0.26383780640973997%,0.28461359122943003%
3,0.5309440849510499%,0.5309440849510499%,,3,1.4112468957478%,1.42925326330455%,,3,0.67882035098871%,0.9415128095248001%,,3,0.74641852789897%,0.58343281223941%,,3,0.31464134647527003%,0.19378712046379%
4,0.55024580141242%,0.55024580141242%,,4,1.7833837865691%,1.91720298744316%,,4,0.67149673087117%,1.04034105962524%,,4,0.8133832224073999%,0.64278998529032%,,4,0.21867332755148%,0.21835616678061%
5,0.7049018068130699%,0.7049018068130699%,,5,1.6352581247673799%,1.68193863725224%,,5,0.58509022026545%,0.95117637200578%,,5,0.8159517874662501%,0.60068052772211%,,5,0.21869057801466%,0.21702726187368998%
6,0.7673775927105899%,0.7673775927105899%,,6,1.6225652871623801%,1.63470460806395%,,6,0.51763144399867%,0.98463788295586%,,6,0.77940475109011%,0.5788329610721099%,,6,0.19639683718358%,0.17741257610513%
,,,
Daily online hours,Old_1_vs_New_Rs,,,Daily online hours,Old_2_vs_New_1,,,Daily online hours,Old_3_vs_New_2,,,Daily online hours,priority_4,,,Daily online hours,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,26471.750000000004%,26471.750000000004%,,1,92373.21594982078%,9840.222222222223%,,1,21685.54659498208%,86287.0017921147%,,1,256174.17204301083%,132786.12888888892%,,1,466050.664874552%,371933.3022222222%
2,32506.894636015324%,32506.894636015328%,,2,94965.75670498084%,2947.2539682539677%,,2,23442.594827586203%,97675.89655172414%,,2,264114.4521072797%,149141.31609195398%,,2,481583.17816091946%,485337.0555555555%
3,37130.60035842294%,37130.60035842293%,,3,88341.86559139784%,85992.68100358424%,,3,20366.121863799286%,120038.7553763441%,,3,246515.00806451612%,140373.50716845877%,,3,449512.0994623657%,436047.8181003585%
4,33389.88333333334%,33389.88333333334%,,4,97592.475%,77379.63425925926%,,4,17171.925000000003%,148745.62129629627%,,4,256947.53518518514%,153395.5509259259%,,4,463067.99907407403%,446756.8481481482%
5,27511.046594982083%,27511.046594982083%,,5,95559.582437276%,88715.3548387097%,,5,21068.95519713261%,143573.48745519712%,,5,250429.3127240144%,149288.5152329749%,,5,489818.0761648745%,360797.1738351255%
6,25761.338888888888%,25761.338888888888%,,6,98755.97037037039%,88770.44629629632%,,6,21631.972222222226%,147530.29907407408%,,6,241777.24629629625%,134958.10185185185%,,6,479274.5935185184%,353703.4601851852%
,,,
Daily orders,Old_1_vs_New_Rs,,,Daily orders,Old_2_vs_New_1,,,Daily orders,Old_3_vs_New_2,,,Daily orders,priority_4,,,Daily orders,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,2674.1935483870966%,2674.1935483870966%,,1,110509.67741935483%,4027.2727272727275%,,1,3806.4516129032254%,105464.51612903229%,,1,76887.09677419355%,39264.0%,,1,21906.451612903224%,19604.0%
2,2979.310344827586%,2979.310344827586%,,2,110189.6551724138%,517.8571428571429%,,2,4100.0%,112348.27586206897%,,2,71989.6551724138%,29755.172413793105%,,2,21275.86206896552%,22731.034482758623%
3,4445.1612903225805%,4445.1612903225805%,,3,106690.32258064517%,105632.25806451612%,,3,3277.4193548387098%,44035.48387096774%,,3,70258.06451612903%,30538.709677419352%,,3,37212.903225806454%,20193.54838709677%
4,3946.666666666667%,3946.666666666667%,,4,131410.0%,118823.33333333331%,,4,2216.666666666667%,49980.0%,,4,65656.66666666667%,30039.999999999996%,,4,19823.33333333333%,18950.0%
