P2c gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.04336539,0.04754127
2,0.04480311,0.0522397
3,0.04209449,0.04199141
4,0.04279887,0.04248455
5,0.04765228,0.04735611
6,0.05164615,0.05152073
