P2c burn per order,Old_2_vs_New_1
month,Old priority,New priority
1,341.298558001051,382.530474040632
2,360.885589109685,356.275862068966
3,345.547741428312,343.844408477371
4,352.805443522817,348.04550172525
5,393.543856569709,393.735855496338
6,428.030595487734,433.013491483501
