Total p2c burn,Old_2_vs_New_1
month,Old priority,New priority
1,11692206.0,169461.0
2,11532099.0,51660.0
3,11428646.0,11259529.0
4,13908649.0,12406778.0
5,15694529.0,14997005.0
6,16941879.0,15405754.0
