Daily orders,Priority 1
month,Priority
1,332.03225806451616
2,270.82758620689657
3,52239.29032258064
4,54623.73333333333
5,54722.0
6,54450.53333333333
7,56946.48387096774
8,59677.45161290323
9,57801.4
