Daily online hours,Priority 1
month,Priority
1,807.9504480286737
2,751.8383333333333
3,26476.81074372765
4,27613.316759259284
5,26240.97435483877
6,27201.42583333328
7,31427.293485662954
8,33054.93650537621
9,32965.67756481483
