P2c gmv,Priority 1
month,Priority
1,0.0466410349192273
2,0.0368529278503647
3,0.0436758819681837
4,0.0475269659022245
5,0.0441465957771633
6,0.043882369850933
7,0.0368928075188647
8,0.0409407279498608
9,0.0436911709249767
